Description,Debit,Credit
COSTCO WHOLESAL _F,136.66,null
C SUPERMARKET,313.6,null
COCO FRESH TEA _F,31.34,null
SPARKLE SOLUTIO _F,31,null
Amazon.c REV 11/16_V,null,34.33
Amazon.ca*1K6IY _V,9.46,null
TORONTO PARKING _V,31,null
JOLLIBEE-SCARBO _F,111.68,null
TD VISA Z3K9Y4,1111,null
ORIENTAL CHOPST _F,14.68,null
IND ALL LIFE IN INS,141,null
CANADA EI,null,1168
FOOD BASICS 66 _F,16.31,null
JP MORGAN CHASE PAY,null,433.83
SUN LIFE MSP,null,31.6
SPARKLE SOLUTIO _F,11,null
PTS TO: 18386666613,31,null
IND ALL LIFE IN INS,399.61,null
Subway 39388 _F,13.66,null
REMITLY* D1FB _V,363.4,null
METERGY/EZ-PAY MSP,68.68,null
IJ313 TFR-FR 6666613,null,6666
TD MUTUAL FUNDS,36,null
HONDA FINANCE LOAN,338.19,null
Koodo Mobile BPY,39.6,null
CASH WITHDRAWAL,6111,null
TD ATM W/D 111313,1111,null
TD ATM W/D 111316,1111,null
TORONTO CATHOLI _V,116,null
TLM CATERING/TH _V,318,null
THE COFFEE HOUS _F,4.13,null
BELL CANADA BPY,396.39,null
ATHENS PASTRIES _F,3.6,null
KUMON THORNCLIF FEE,361,null
HO693 TFR-FR 6666613,null,1111
SPARKLE SOLUTIO _F,31,null
FOOD BASICS 66,43.66,null
TD ATM W/D 118613,311,null
COBS BREAD # 93 _F,34.3,null
SHOPPERS DRUG M _F,166.3,null
FOOD BASICS 66 _F,34.61,null
AMZN Mktp CA _V,13.68,null
Amazon.ca _V,36.11,null
Amazon.ca _V,14.94,null
PETRO-CANADA,61.13,null
IQBAL HALAL FOO _F,66.16,null
TIM HORTONS #63 _F,9.11,null
Nintendo CD8613 _V,6.64,null
RH631 TFR-FR 6666613,null,3111
NSLSC MSP,346.94,null
MONTHLY ACCOUNT FEE,16.96,null
ACCT BAL REBATE,null,16.96
REMITLY* B383 _V,483.66,null
CENTURION Q6L4R6,1386.16,null
MOUNT SINA GEN EXP,39.13,null
TIM HORTONS #93 _F,1.66,null
REMITLY* ADCC _V,146.96,null
IQ446 TFR-FR 6666613,null,161
ABS-CBN Canada _V,9.99,null
View more SEND E-TFR ***XrK View more SEND E-TFR ***XrK,111,null
TIM HORTONS #93 _F,1.93,null
TD MUTUAL FUNDS,36,null
HONDA FINANCE LOAN,338.19,null
APPLE.COM/BILL _V,4.61,null
PAYPAL *NO 68.61_V,68.6,null
IND ALL LIFE IN INS,361.3,null
SPARKLE SOLUTIO _F,31,null
AMZN Mktp CA _V,31.33,null
AMZN Mktp CA _V,11.18,null
AMZN Mktp CA _V,16.64,null
JOHNSON/UNIFUND INS,336.33,null
BRIGHT PICS INC _V,63.11,null
PIZZA HUT #4316 _F,36.19,null
TIM HORTONS #93 _F,3.61,null
TD VISA W9Q9J8,1111,null
DOLLARAMA # 313 _F,13.34,null
SHOPPERS DRUG M _F,34.36,null
PIZZA HUT #4316 _F,63.13,null
SPARKLE SOLUTIO,31,null
SHOPPERS DRUG M _F,18.16,null
COSTCO WHOLESAL _F,144.19,null
COSTCO WHOLESAL _F,39.43,null
C&amp;C SUPERMARKET,366.33,null
IND ALL LIFE IN INS,141,null
JP MORGAN CHASE PAY,null,3316.11
PTS TO: 18386666613,31,null
IND ALL LIFE IN INS,148.14,null
IQBAL HALAL FOO _F,33.86,null
DOLLARAMA # 313 _F,16.64,null
TD ATM W/D 116318,411,null
METERGY/EZ-PAY MSP,69.36,null
HONDA FINANCE LOAN,338.19,null
TD MUTUAL FUNDS,36,null
Amazon.ca _V,66.69,null
Amazon.ca _V,6.96,null
GC 1918-DEPOSIT,null,316.11
GC 1918-DEPOSIT,null,336
SHOPPERS DRUG M _F,31.3,null
3463 CARTER'S/ _F,166.9,null
C&amp;C SUPERMARKET,333.38,null
SPARKLE SOLUTIO _F,41,null
Amazon.ca _V,36.96,null
Koodo Mobile BPY,46.83,null
ATHENS PASTRIES _F,16.61,null
AMZN Mktp CA _V,19.3,null
AMZN Mktp CA _V,1.13,null
AMZN Mktp CA _V,13.64,null
AMZN Mktp CA _V,19.3,null
BELL CANADA BPY,394.34,null
TIM HORTONS #93 _F,14.69,null
PIZZA HUT #4316 _F,13.43,null
TIM HORTONS #93 _F,6.4,null
KUMON THORNCLIF FEE,361,null
TORONTO CATHOLI _V,16,null
Subway 39388 _F,16.91,null
SPARKLE SOLUTIO _F,31,null
REMITLY* H93D _V,336.48,null
AMZN Mktp CA _V,18.38,null
AMZN Mktp CA _V,46.18,null
AMZN Mktp CA _V,36.46,null
AMZN Mktp CA _V,41.94,null
JP MORGAN CHASE PAY,null,863.66
Nintendo CD8613 _V,6.64,null
EATON RUBY THAI _F,9.93,null
GONG CHA EATONS _F,6.46,null
SHOPPERS DRUG M _F,31.9,null
SHOPPERS DRUG M,166,null
TD ATM W/D 116146,311,null
DOLLARAMA # 313 _F,16.64,null
FOOD BASICS 66 _F,13.96,null
NSLSC MSP,346.94,null
MONTHLY ACCOUNT FEE,16.96,null
ACCT BAL REBATE,null,16.96
CENTURION J6R6U4,1386.16,null
TORONTO CATHOLI _V,41,null
IND ALL LIFE IN INS,361.3,null
HONDA FINANCE LOAN,338.19,null
TD MUTUAL FUNDS,36,null
MOUNT SINA GEN EXP,39.13,null
NYF3344 _F,14.89,null
EATON RUBY THAI _F,36.63,null
KERNELS POPCORN _F,16.81,null
PETRO-CANADA _F,39,null
C&amp;C SUPERMARKET,161.19,null
SUNNY FOODMART _F,36.96,null
COBS BREAD # 93 _F,36.1,null
TD ATM W/D 113334,31,null
SPARKLE SOLUTIO _F,31,null
TIM HORTONS #93 _F,4.93,null
ABS-CBN Canada _V,9.99,null
APPLE.COM/BILL _V,4.61,null
TIM HORTONS #93 _F,6.86,null
TIM HORTONS #93 _F,3.93,null
JOHNSON/UNIFUND INS,336.33,null
SPARKLE SOLUTIO _F,31,null
REMITLY* RFFD _V,381.96,null
COSTCO WHOLESAL,163.36,null
DOLLARAMA # 313 _F,16.89,null
TD ATM W/D 116384,611,null
TO: 111661113383131,41111,null
SHOPPERS DRUG M _F,61,null
HONDA L6Z6Z6,16868.36,null
TD VISA L6Z6A9,1111,null
PARKWAY HONDA,361.44,null
TD MUTUAL FUNDS,6111,null
TLM CATERING/TH _V,433,null
TIM HORTONS #93 _F,3.63,null
IND ALL LIFE IN INS,141,null
METERGY/EZ-PAY MSP,61.4,null
Subway 39388 _F,13.98,null
ATHENS PASTRIES _F,6.61,null
JP MORGAN CHASE PAY,null,863.66
PTS TO: 18386666613,31,null
ORIENTAL CHOPST _F,14.68,null
IND ALL LIFE IN INS,386.39,null
TD MUTUAL FUNDS,36,null
THE COFFEE HOUS _F,4.68,null
AMZN Mktp CA _V,64.13,null
SPARKLE SOLUTIO _F,31,null
1138 SAJE TEC _F,48.83,null
SANSOTEI RAMEN _F,18.18,null
CREPE DELICIOUS _F,6.39,null
C&amp;C SUPERMARKET,316.98,null
SUNNY FOODMART _F,61.84,null
DOLLARAMA # 313 _F,33.64,null
TD ATM W/D 116636,1111,null
FOOD BASICS 66,11.66,null
WENDY'S #6469 _F,16.33,null
Koodo Mobile BPY,16.96,null